itstId,itstNm,mapCtptIntLat,mapCtptIntLot,,,
1698,자양아파트,37.533461,127.0847768,,,
170,공무원아파트,37.5575715,127.1567067,,,
1704,배명사거리,37.5024655,127.0969526,,,
1709,상계교,37.6617107,127.0524475,,,
1713,강일동입구,37.5622027,127.1704096,,,
1714,몽촌토성역,37.5174913,127.1127403,,,
1716,성수사거리,37.5421368,127.0639789,,,
172,태릉입구역,37.6176423,127.0756441,,,
1722,성수2가,37.540307,127.0629367,,,
173,영동전화국,37.5050323,127.0416266,,,
1730,삼성관음아파트,37.5526424,126.8700037,,,
1734,대원주유소,37.4864473,126.8564398,,,
1736,수락초교,37.6836818,127.05543,,,
1737,용산역앞,37.5264431,126.9652719,,,
1738,홍파복지원,37.6806881,127.0554436,,,
1741,온수골사거리,37.6612274,127.0587312,,,
1742,도봉면허시험장,37.6579539,127.0595619,,,
1743,상계2.6단지,37.651439,127.0613584,,,
1744,중계근린공원,37.6411226,127.0659296,,,
1745,노원구민의정당,37.6387392,127.0669985,,,
1746,하계역,37.635961,127.0682131,,,
1747,농협공릉지점,37.6222447,127.074123,,,
1748,화랑삼거리,37.6238,127.0907754,,,
1749,태릉사격장,37.6279059,127.0961903,,,
175,역삼금호어울림,37.4926506,127.0340999,,,
1750,태릉골프장,37.6301302,127.0980719,,,
1751,태릉선수촌,37.6335966,127.1033313,,,
1754,삼육대,37.6379898,127.1076806,,,
176,우리은행역삼,37.4935164,127.0403703,,,
1760,이화아파트,37.4905816,126.8929092,,,
1778,당현2교,37.6507926,127.0684718,,,
179,길동생태공원,37.5402838,127.1532805,,,
1792,방학역앞,37.6697209,127.0436376,,,
1793,강동성심병원,37.5352957,127.1343085,,,
1795,길동사거리,37.5339461,127.1385557,,,
1796,하계5.6단지,37.6346551,127.0661125,,,
1797,마들역,37.664543,127.0578264,,,
1798,대진여고,37.6461978,127.0662975,,,
1807,삼성해청아파트,37.5176783,127.0437584,,,
1808,장지역,37.4793554,127.1258284,,,
1812,신설동역,37.5755809,127.0232274,,,
1813,광화문,37.5751483,126.9770766,,,
1814,종로6가,37.5711036,127.0067086,,,
1815,경복궁,37.5758544,126.9794201,,,
1816,종로4가,37.5707425,126.9977692,,,
1817,종로구청입구,37.5702029,126.9793148,,,
1818,종로백화점약국,37.5710408,127.0037626,,,
1819,종로1가,37.5702264,126.9829758,,,
1820,종로2가,37.5702056,126.9876851,,,
1821,세종대로사거리,37.5701758,126.977029,,,
1822,통인교차로,37.5794539,126.9713498,,,
1823,신교동,37.5838447,126.9703958,,,
1826,안국역,37.5768589,126.9861801,,,
1827,통인시장,37.581461,126.9708642,,,
1828,하림각,37.5978194,126.9626128,,,
1829,자하문터널북단,37.5951809,126.9636525,,,
1830,재향군인회,37.5733612,126.9975784,,,
1831,혜화역,37.5829472,127.001763,,,
1832,무악재역,37.5819776,126.9505189,,,
1835,광교,37.5690373,126.9827797,,,
1836,합청,37.5794179,126.9738268,,,
1838,구기동정류장,37.6070339,126.9587855,,,
1839,종로5가,37.5710013,127.0019255,,,
1843,낙원상가,37.5735455,126.9876807,,,
1846,구기터널,37.6084681,126.9567144,,,
1847,신영소방서,37.6058314,126.960618,,,
185,인권빌딩,37.5342458,126.8635971,,,
1850,청계2가,37.5682795,126.9876861,,,
1851,창경궁,37.5790415,126.9966823,,,
1854,조계사,37.5739436,126.9829375,,,
1855,팔판동,37.5810688,126.980253,,,
1857,정부서울청사,3.7575758,126.9743313,,,
186,용두119안전센터앞,37.5780826,127.0317389,,,
1861,우리은행효자,37.5781183,126.9718623,,,
1863,종로3가,37.5704205,126.9921386,,,
1864,청계4가,37.5690316,126.9979233,,,
1865,동묘앞역,37.5730228,127.0156343,,,
1866,성균관대입구,37.5830166,126.9987504,,,
1867,국립과학관,37.5814946,126.9970056,,,
1869,둔촌아파트입구삼거리,37.5236777,127.1346825,,,
1871,LG전자,37.4815134,126.9504182,,,
1873,낙성대입구,37.478527,126.9598853,,,
1876,중계종합사회복지관,37.6572335,127.0768473,,,
1877,중계주공4.5단지,37.6545558,127.0781698,,,
1882,강서운전면허시험장입구,37.5493647,126.819563,,,
1885,코끼리약국,37.5081781,127.0879169,,,
189,관악우성아파트,37.4864113,126.9568561,,,
1893,강서한강자이타워,37.5656407,126.8465729,,,
1899,한강대교북단,37.5224199,126.9617766,,,
1900,중계9단지,37.6411938,127.0763343,,,
1904,목동월드파크빌,37.5408714,126.8637453,,,
1909,성가복지병원,37.6063813,127.0311781,,,
1911,동일로주유소,37.5679478,127.0785921,,,
1912,신내데시앙정문,37.61083,127.1011727,,,
1914,워커힐아파트,37.5480903,127.1070931,,,
1915,둔촌고교입구,37.5352166,127.1453212,,,
1917,은일로즈힐아파트,37.5163123,126.8369575,,,
1918,신화중학교,37.5395017,126.8309036,,,
1921,삼일빌딩앞,37.5627074,127.0003211,,,
1922,홍은풍림아파트,37.595159,126.9402854,,,
1923,홍제역,37.5880055,126.9451089,,,
1924,무악재한화아파트,37.5827395,126.9501417,,,
1926,안산초교,37.5805804,126.9517861,,,
1928,서울역광장,37.5540576,126.9729844,,,
1929,서울역R,37.5570508,126.9726242,,,
1943,시민교회,37.5545041,127.0863109,,,
1946,청계광장,37.5694153,126.9771986,,,
1954,군자역,37.5571793,127.0794927,,,
1957,어린이회관앞,37.5456142,127.0785874,,,
1958,고척중,37.5006441,126.863602,,,
196,세이브마트,37.4739725,126.9176019,,,
1962,북부도로교통사업소앞,37.6340616,127.0376232,,,
1963,대명신협,37.5786574,127.04039,,,
1966,인덕대학,37.6289518,127.0549892,,,
197,난우지구대,37.4797112,126.9149363,,,
1971,평안섬유공업사,37.5891509,127.0589138,,,
1972,배봉초교,37.5786639,127.0684224,,,
1977,동서울케이블TV앞,37.5428285,127.0618607,,,
1978,해성자동차공업사앞,37.5432538,127.0604213,,,
198,신도림역,37.5102262,126.8903682,,,
1980,잠실새내역,37.5116331,127.0855385,,,
1981,잠실3사거리,37.5118955,127.0925284,,,
1988,그랜드마트,37.5596618,126.8386338,,,
1989,성내천공원앞,37.5251481,127.1254038,,,
199,신도림주민센터,37.5057642,126.8836059,,,
1990,팬코,37.5607703,126.8389868,,,
1991,등촌1-10단지,37.563219,126.8397947,,,
1992,대륭드림타운,37.5665502,126.8408441,,,
1999,원남동사거리,37.5759134,126.9973494,,,
200,구로역,37.5030259,126.8798092,,,
20001,이촌역앞(연등),37.5229798,126.972103,,,
20005,석관중(연등),37.6059691,127.0665962,,,
20009,구로경찰서(연등),37.4943412,126.8870739,,,
20010,난곡우체국앞(연등),37.4778807,126.916527,,,
20026,삼성동센트럴아이파크(연등),37.5162776,127.0516058,,,
2003,석촌호,37.5065529,127.0973009,,,
20030,강남세무서(연등)1,37.5184194,127.0480101,,,
20034,논현지구대(연등),37.5127762,127.0268085,,,
20035,전기공제회관(연등),37.514299,127.0201207,,,
20038,영동고(연등)1,37.5216641,127.0396415,,,
20039,청담천주교회(연등),37.5215056,127.0487973,,,
20041,우리은행청담(연등),37.5222637,127.0558112,,,
20042,영동대교남단(연등),37.5248517,127.0527188,,,
20045,학동(연등)1,37.523502,127.0416064,,,
20046,도산공원(연등),37.5221282,127.0357303,,,
20047,삼화콘덴서(연등),37.5209338,127.0319535,,,
20049,신사역(연등),37.5157695,127.0184618,,,
20054,청담초교(연등),37.5266046,127.0454089,,,
20056,광림교회(연등),37.526115,127.0263586,,,
20057,현대고(연등),37.5234339,127.0210383,,,
20058,한남대교남단(연등)1,37.5223813,127.0190757,,,
20062,서울메트로뒤(연등),37.4780399,126.9881719,,,
20063,시스폴사거리(연등),37.4870134,126.9892559,,,
20064,한양타운(연등),37.52578,127.0399912,,,
20068,백제고분(연등),37.5084921,127.1154762,,,
20070,방이사거리(연등),37.5092497,127.1140938,,,
20073,대명초교입구(연등),37.547411,127.15607,,,
20077,롯데백화점도곡(연등),37.4973799,127.0562029,,,
20082,쟁골마을(연등),37.4832246,127.1044788,,,
20086,헌인릉입구(연등),37.460053,127.080002,,,
20089,세곡동사거리(연등)1,37.4648491,127.1099606,,,
2009,서울도시가스,37.5052457,126.9445611,,,
20093,자곡사거리(연등),37.4752383,127.1052906,,,
20097,대왕중교(연등),37.48404,127.0891665,,,
20098,태화복지관앞(연등),37.4848326,127.0927019,,,
201,중앙유통단지,37.5011484,126.8772342,,,
2010,강서도로사업소,37.5727294,126.8299747,,,
20101,수서역(연등)1,37.488424,127.1003019,,,
20109,서초삼성스위트아파트(연등),37.4940062,127.0256325,,,
20130,목동사거리(연등),37.5327016,126.8660821,,,
20133,목동역(연등)1,37.5262938,126.8635009,,,
20134,남부법원.검찰청(연등),37.5244125,126.8648346,,,
20142,한진해운빌딩앞(연등),37.5247338,126.9248656,,,
20146,탑성마을(연등),37.4597547,127.0543256,,,
20148,국회의사당(연등),37.5291901,126.917255,,,
